,datetime,price_usd,twitter_followers,daily_opening_price_usd,daily_high_price_usd,daily_low_price_usd,daily_closing_price_usd,daily_avg_price_usd,marketcap_usd,nvt,circulation_1d,dormant_circulation_90d,exchange_balance,daily_active_addresses,network_growth,transaction_volume,velocity,dev_activity,dev_activity_contributors_count,sentiment_positive_total,sentiment_negative_total,sentiment_balance_total,social_dominance_total,social_volume_total,unique_social_volume_total_5m,whale_transaction_count_100k_usd_to_inf,whale_transaction_count_1m_usd_to_inf,btc_price_usd,eth_NFT_buyers,total_NFT_buyers,000001.SS,^GSPC,^IXIC,^N100,^NDX,daily transactions,volume_ETH,daily_trading_volume_ETH,eth_NFT_sales_ETH,total_NFT_sales_ETH,total_TVL_ETH,eth_TVL_ETH,fees_usd_ETH,mvrv_usd_ETH
12,2017-07-31,203.871,19193.641025641024,197.405,203.871,193.411,203.871,198.59038194444446,19102596754.0,105.49615412813037,888846.3603053614,81863.18925559065,-61601.54031836537,140695.0,33399.0,9169001.773918675,10.315620542987004,140.0,17.0,290.2681995630264,261.6149662733078,28.653233289718628,12.429937063371318,2491.0,472.0,7658.0,37.0,2875.34,3.0,3.0,3252.751953125,2475.93994140625,6394.68994140625,999.9199829101562,5928.68017578125,250090.0,2793011.266928597,2793011.266928597,1.3439871291159604,1.3439871291159604,0.0,0.0,225.10300349164967,0.01112951691555678
13,2017-08-01,226.769,20793.11111111111,204.688,227.744,204.688,226.769,219.06267708333309,21252988046.0,97.66841334019097,960303.1945964522,200132.349206385,-31974.671406431204,110057.0,30552.0,10303607.649957357,10.72953595065262,173.0,22.0,359.611045897007,307.1029860973358,52.50805979967117,13.1044285110328,3364.0,524.0,8839.0,44.0,2718.26,1.0,1.0,3274.368896484375,2477.10009765625,6372.16015625,999.9099731445312,5900.64013671875,218582.0,6990946.734341996,6990946.734341996,0.1991012880949336,0.1991012880949336,0.0,0.0,254.6322253471681,0.011055769286455486
14,2017-08-02,219.952,22392.581196581195,227.006,229.512,218.118,219.952,223.10074999999995,20618746851.0,105.62234194532407,888187.3538916092,76359.2137226375,-6441.506572641889,112378.0,30665.0,9482499.192663873,10.676237565320712,158.0,21.0,346.2960873246193,239.11600852012634,107.18007880449295,8.984905625021902,2597.0,539.0,8638.0,31.0,2710.67,1.0,1.0,3288.51806640625,2480.3798828125,6393.10009765625,1001.8400268554688,5934.06982421875,231068.0,2876109.33294537,2876109.33294537,2.3741543609514806,2.3741543609514806,0.0,0.0,240.67529134638193,0.011023564809314698
15,2017-08-03,225.342,23992.05128205128,220.18,228.292,219.888,225.342,224.00678124999988,21128736917.0,97.6955319717997,960467.5852790037,182739.7561098183,-108022.01258209898,112283.0,31218.0,8161069.058810401,8.496974998314721,97.0,26.0,281.37703758478165,189.9084625840187,91.46857500076294,8.966988790808973,2065.0,484.0,7072.0,48.0,2804.73,9.0,9.0,3279.986083984375,2476.030029296875,6366.240234375,994.6300048828125,5915.72998046875,236335.0,2472761.402667945,2472761.402667945,19.292897018753717,19.292897018753717,0.0,0.0,234.92545853942696,0.010960163249597836
16,2017-08-04,223.073,25591.521367521367,225.308,227.621,222.057,223.073,224.54657839721264,20920682037.0,138.7668079114226,676348.3103280098,50246.05651492056,-44684.956869341484,123288.0,35618.0,8229532.6496484745,12.167595488875124,278.0,23.0,262.2724143266678,151.86360955238342,110.40880477428436,8.293134234929973,1801.0,431.0,7469.0,32.0,2895.89,2.0,2.0,3269.318115234375,2476.8798828125,6350.7900390625,999.1699829101562,5899.68994140625,257160.0,2419759.4509420684,2419759.4509420684,0.40704164107713614,0.40704164107713614,0.0,0.0,221.60881968034278,0.010942080913948002
17,2017-08-05,256.507,27190.991452991453,222.852,256.507,221.952,256.507,238.35334948096886,24061766193.0,124.32199684987835,755102.7975874571,33282.430085471125,-60705.427076692846,118168.0,31387.0,9533591.660040248,12.62555468010348,21.0,9.0,341.9438335299492,260.13846081495285,81.80537271499634,10.884323188854673,2484.0,459.0,9327.0,32.0,3252.91,2.0,2.0,3265.4353841145835,2476.966552734375,6354.21337890625,1003.8399861653646,5902.943359375,261400.0,5196739.270273326,5196739.270273326,6.017106745624876,6.017106745624876,0.0,0.0,219.30640794497697,0.010914072586981126
18,2017-08-06,261.567,28790.46153846154,256.419,271.049,252.852,261.567,261.3692048611111,24541904158.0,101.89124682379828,921542.8819943643,190952.85065780027,-49902.63085063343,118490.0,31911.0,9163188.640356004,9.943312264014843,74.0,7.0,380.3577251434326,197.37758547067642,182.9801396727562,12.642848935694806,2522.0,519.0,9048.0,41.0,3213.94,1.5,1.5,3261.5526529947915,2477.05322265625,6357.63671875,1008.5099894205729,5906.19677734375,265127.0,5669598.993756858,5669598.993756858,3.0972561523433764,3.0972561523433764,0.0,0.0,244.88814463422096,0.010832935720282178
19,2017-08-07,269.18,30389.931623931625,261.237,271.963,256.689,269.18,265.4562395833333,25262099071.0,105.76131999678788,888025.7433753156,198440.30668530922,-111797.54551192136,131477.0,36806.0,10284842.265982127,11.581693822164487,300.0,32.0,374.38969814777374,244.59602516889572,129.79367297887802,11.834674637601049,2702.0,513.0,11164.0,38.0,3378.94,1.0,1.0,3257.669921875,2477.139892578125,6361.06005859375,1013.1799926757812,5909.4501953125,281172.0,3476212.943012111,3476212.943012111,0.2854966936622334,0.2854966936622334,0.0,0.0,319.6845222328172,0.010744362330627257
20,2017-08-08,296.769,31989.40170940171,269.1,298.907,266.796,296.769,281.71097916666685,27857712298.0,92.06899107439594,1020326.2686683952,47189.4593064764,-105855.44798757661,148517.0,43356.0,11512676.582725016,11.283328613858457,258.0,24.0,483.50476348400116,272.1655213236809,211.33924216032028,12.644018333877385,3242.0,515.0,12834.0,31.0,3419.94,4.0,4.0,3277.18896484375,2478.35009765625,6373.330078125,1011.97998046875,5922.64013671875,318866.0,5062557.073009647,5062557.073009647,3.354393484494674,3.354393484494674,0.0,0.0,321.46872270684423,0.010681879501435334
21,2017-08-09,296.027,33588.8717948718,297.632,318.716,276.69,296.027,299.48918055555544,27794475648.0,72.1410739343794,1302477.6316536618,292396.7062916516,-7211.592314134493,135471.0,41682.0,11607350.447858488,8.911746478997836,303.0,23.0,410.86788618564606,294.2910805940628,116.57680559158325,14.63952032335409,3457.0,500.0,12415.0,76.0,3342.47,4.0,4.0,3277.80810546875,2465.35009765625,6322.919921875,1009.47998046875,5879.5498046875,280308.0,8913308.583338682,8913308.583338682,1.2180983491370718,1.2180983491370718,0.0,0.0,272.35168989906833,0.010526956459931623
